cost_id,subscription_id,customer_id,cost_month,compute_cost,storage_cost,support_cost,total_cost
COST-S001-202603,S001,C001,2026-03-01,12624.0,720,1050.0,14394.0
COST-S001-202604,S001,C001,2026-04-01,13104.0,738,1085.0,14927.0
COST-S001-202605,S001,C001,2026-05-01,13416.0,756,1120.0,15292.0
COST-S001-202606,S001,C001,2026-06-01,13584.0,774,1155.0,15513.0
COST-S001-202607,S001,C001,2026-07-01,13872.0,792,1190.0,15854.0
COST-S001-202608,S001,C001,2026-08-01,14208.0,810,1225.0,16243.0
COST-S002-202603,S002,C002,2026-03-01,10984.68,775,2100.0,13859.68
COST-S002-202604,S002,C002,2026-04-01,10567.8,793,2135.0,13495.8
COST-S002-202605,S002,C002,2026-05-01,10011.6,811,2170.0,12992.6
COST-S002-202606,S002,C002,2026-06-01,9455.4,829,2205.0,12489.4
COST-S002-202607,S002,C002,2026-07-01,8481.78,847,2240.0,11568.78
COST-S002-202608,S002,C002,2026-08-01,7508.7,865,2275.0,10648.7
COST-S003-202603,S003,C003,2026-03-01,8900.1,830,1050.0,10780.1
COST-S003-202604,S003,C003,2026-04-01,9474.3,848,1085.0,11407.3
COST-S003-202605,S003,C003,2026-05-01,10048.5,866,1120.0,12034.5
COST-S003-202606,S003,C003,2026-06-01,10622.7,884,1155.0,12661.7
COST-S003-202607,S003,C003,2026-07-01,11037.4,902,1190.0,13129.4
COST-S003-202608,S003,C003,2026-08-01,11771.1,920,1225.0,13916.1
COST-S004-202603,S004,C004,2026-03-01,11904.5,885,2100.0,14889.5
COST-S004-202604,S004,C004,2026-04-01,11261.0,903,2135.0,14299.0
COST-S004-202605,S004,C004,2026-05-01,10617.5,921,2170.0,13708.5
COST-S004-202606,S004,C004,2026-06-01,9652.5,939,2205.0,12796.5
COST-S004-202607,S004,C004,2026-07-01,8365.5,957,2240.0,11562.5
COST-S004-202608,S004,C004,2026-08-01,7078.5,975,2275.0,10328.5
COST-S005-202603,S005,C005,2026-03-01,25090.56,940,1050.0,27080.56
COST-S005-202604,S005,C005,2026-04-01,25375.68,958,1085.0,27418.68
COST-S005-202605,S005,C005,2026-05-01,25945.92,976,1120.0,28041.92
COST-S005-202606,S005,C005,2026-06-01,26231.04,994,1155.0,28380.04
COST-S005-202607,S005,C005,2026-07-01,26801.28,1012,1190.0,29003.28
COST-S005-202608,S005,C005,2026-08-01,27086.4,1030,1225.0,29341.4
COST-S006-202603,S006,C006,2026-03-01,5197.38,995,1050.0,7242.38
COST-S006-202604,S006,C006,2026-04-01,5465.92,1013,1085.0,7563.92
COST-S006-202605,S006,C006,2026-05-01,5735.04,1031,1120.0,7886.04
COST-S006-202606,S006,C006,2026-06-01,6003.58,1049,1155.0,8207.58
COST-S006-202607,S006,C006,2026-07-01,6182.8,1067,1190.0,8439.8
COST-S006-202608,S006,C006,2026-08-01,6362.02,1085,1225.0,8672.02
COST-S007-202603,S007,C007,2026-03-01,18920.0,1050,1470.0,21440.0
COST-S007-202604,S007,C007,2026-04-01,18700.0,1068,1505.0,21273.0
COST-S007-202605,S007,C007,2026-05-01,18260.0,1086,1540.0,20886.0
COST-S007-202606,S007,C007,2026-06-01,17600.0,1104,1575.0,20279.0
COST-S007-202607,S007,C007,2026-07-01,16500.0,1122,1610.0,19232.0
COST-S007-202608,S007,C007,2026-08-01,15180.0,1140,1645.0,17965.0
COST-S008-202603,S008,C008,2026-03-01,3790.8,1105,1050.0,5945.8
COST-S008-202604,S008,C008,2026-04-01,4169.88,1123,1085.0,6377.88
COST-S008-202605,S008,C008,2026-05-01,4580.28,1141,1120.0,6841.28
COST-S008-202606,S008,C008,2026-06-01,5054.4,1159,1155.0,7368.4
COST-S008-202607,S008,C008,2026-07-01,5527.98,1177,1190.0,7894.98
COST-S008-202608,S008,C008,2026-08-01,6002.1,1195,1225.0,8422.1
COST-S009-202603,S009,C009,2026-03-01,16175.04,1160,1470.0,18805.04
COST-S009-202604,S009,C009,2026-04-01,15980.16,1178,1505.0,18663.16
COST-S009-202605,S009,C009,2026-05-01,15590.4,1196,1540.0,18326.4
COST-S009-202606,S009,C009,2026-06-01,15200.64,1214,1575.0,17989.64
COST-S009-202607,S009,C009,2026-07-01,14810.88,1232,1610.0,17652.88
COST-S009-202608,S009,C009,2026-08-01,14421.12,1250,1645.0,17316.12
COST-S010-202603,S010,C010,2026-03-01,10351.5,1215,1050.0,12616.5
COST-S010-202604,S010,C010,2026-04-01,10660.5,1233,1085.0,12978.5
COST-S010-202605,S010,C010,2026-05-01,11124.0,1251,1120.0,13495.0
COST-S010-202606,S010,C010,2026-06-01,11433.0,1269,1155.0,13857.0
COST-S010-202607,S010,C010,2026-07-01,12051.0,1287,1190.0,14528.0
COST-S010-202608,S010,C010,2026-08-01,12514.5,1305,1225.0,15044.5
COST-S011-202603,S011,C011,2026-03-01,2940.3,1270,1050.0,5260.3
COST-S011-202604,S011,C011,2026-04-01,3148.2,1288,1085.0,5521.2
COST-S011-202605,S011,C011,2026-05-01,3356.1,1306,1120.0,5782.1
COST-S011-202606,S011,C011,2026-06-01,3474.9,1324,1155.0,5953.9
COST-S011-202607,S011,C011,2026-07-01,3623.4,1342,1190.0,6155.4
COST-S011-202608,S011,C011,2026-08-01,3742.2,1360,1225.0,6327.2
COST-S012-202603,S012,C012,2026-03-01,5360.94,1325,1470.0,8155.94
