usage_id,subscription_id,customer_id,usage_month,licensed_users,active_users,adoption_rate,compute_hours,production_jobs
S001-202603,S001,C001,2026-03-01,650,526,0.81,2524.8,5302
S001-202604,S001,C001,2026-04-01,650,546,0.84,2620.8,5766
S001-202605,S001,C001,2026-05-01,650,559,0.86,2683.2,6171
S001-202606,S001,C001,2026-06-01,650,566,0.87,2716.8,5705
S001-202607,S001,C001,2026-07-01,650,578,0.89,2774.4,6104
S001-202608,S001,C001,2026-08-01,650,592,0.91,2841.6,6536
S002-202603,S002,C002,2026-03-01,500,395,0.79,2034.2,4272
S002-202604,S002,C002,2026-04-01,500,380,0.76,1957.0,4305
S002-202605,S002,C002,2026-05-01,500,360,0.72,1854.0,4264
S002-202606,S002,C002,2026-06-01,500,340,0.68,1751.0,3677
S002-202607,S002,C002,2026-07-01,500,305,0.61,1570.7,3456
S002-202608,S002,C002,2026-08-01,500,270,0.54,1390.5,3198
S003-202603,S003,C003,2026-03-01,450,279,0.62,1534.5,3222
S003-202604,S003,C003,2026-04-01,450,297,0.66,1633.5,3594
S003-202605,S003,C003,2026-05-01,450,315,0.7,1732.5,3985
S003-202606,S003,C003,2026-06-01,450,333,0.74,1831.5,3846
S003-202607,S003,C003,2026-07-01,450,346,0.77,1903.0,4187
S003-202608,S003,C003,2026-08-01,450,369,0.82,2029.5,4668
S004-202603,S004,C004,2026-03-01,550,407,0.74,2380.9,5000
S004-202604,S004,C004,2026-04-01,550,385,0.7,2252.2,4955
S004-202605,S004,C004,2026-05-01,550,363,0.66,2123.5,4884
S004-202606,S004,C004,2026-06-01,550,330,0.6,1930.5,4054
S004-202607,S004,C004,2026-07-01,550,286,0.52,1673.1,3681
S004-202608,S004,C004,2026-08-01,550,242,0.44,1415.7,3256
S005-202603,S005,C005,2026-03-01,1100,968,0.88,4646.4,9757
S005-202604,S005,C005,2026-04-01,1100,979,0.89,4699.2,10338
S005-202605,S005,C005,2026-05-01,1100,1001,0.91,4804.8,11051
S005-202606,S005,C005,2026-06-01,1100,1012,0.92,4857.6,10201
S005-202607,S005,C005,2026-07-01,1100,1034,0.94,4963.2,10919
S005-202608,S005,C005,2026-08-01,1100,1045,0.95,5016.0,11537
S006-202603,S006,C006,2026-03-01,300,174,0.58,896.1,1882
S006-202604,S006,C006,2026-04-01,300,183,0.61,942.4,2073
S006-202605,S006,C006,2026-05-01,300,192,0.64,988.8,2274
S006-202606,S006,C006,2026-06-01,300,201,0.67,1035.1,2174
S006-202607,S006,C006,2026-07-01,300,207,0.69,1066.0,2345
S006-202608,S006,C006,2026-08-01,300,213,0.71,1096.9,2523
S007-202603,S007,C007,2026-03-01,800,688,0.86,3784.0,7946
S007-202604,S007,C007,2026-04-01,800,680,0.85,3740.0,8228
S007-202605,S007,C007,2026-05-01,800,664,0.83,3652.0,8400
S007-202606,S007,C007,2026-06-01,800,640,0.8,3520.0,7392
S007-202607,S007,C007,2026-07-01,800,600,0.75,3300.0,7260
S007-202608,S007,C007,2026-08-01,800,552,0.69,3036.0,6983
S008-202603,S008,C008,2026-03-01,250,120,0.48,702.0,1474
S008-202604,S008,C008,2026-04-01,250,132,0.53,772.2,1699
S008-202605,S008,C008,2026-05-01,250,145,0.58,848.2,1951
S008-202606,S008,C008,2026-06-01,250,160,0.64,936.0,1966
S008-202607,S008,C008,2026-07-01,250,175,0.7,1023.7,2252
S008-202608,S008,C008,2026-08-01,250,190,0.76,1111.5,2556
S009-202603,S009,C009,2026-03-01,700,581,0.83,2788.8,5856
S009-202604,S009,C009,2026-04-01,700,574,0.82,2755.2,6061
S009-202605,S009,C009,2026-05-01,700,560,0.8,2688.0,6182
S009-202606,S009,C009,2026-06-01,700,546,0.78,2620.8,5504
S009-202607,S009,C009,2026-07-01,700,532,0.76,2553.6,5618
S009-202608,S009,C009,2026-08-01,700,518,0.74,2486.4,5719
S010-202603,S010,C010,2026-03-01,600,402,0.67,2070.3,4348
S010-202604,S010,C010,2026-04-01,600,414,0.69,2132.1,4691
S010-202605,S010,C010,2026-05-01,600,432,0.72,2224.8,5117
S010-202606,S010,C010,2026-06-01,600,444,0.74,2286.6,4802
S010-202607,S010,C010,2026-07-01,600,468,0.78,2410.2,5302
S010-202608,S010,C010,2026-08-01,600,486,0.81,2502.9,5757
S011-202603,S011,C011,2026-03-01,180,99,0.55,544.5,1143
S011-202604,S011,C011,2026-04-01,180,106,0.59,583.0,1283
S011-202605,S011,C011,2026-05-01,180,113,0.63,621.5,1429
S011-202606,S011,C011,2026-06-01,180,117,0.65,643.5,1351
S011-202607,S011,C011,2026-07-01,180,122,0.68,671.0,1476
S011-202608,S011,C011,2026-08-01,180,126,0.7,693.0,1594
S012-202603,S012,C012,2026-03-01,220,158,0.72,924.3,1941
S012-202604,S012,C012,2026-04-01,220,154,0.7,900.9,1982
S012-202605,S012,C012,2026-05-01,220,147,0.67,859.9,1978
S012-202606,S012,C012,2026-06-01,220,139,0.63,813.1,1708
S012-202607,S012,C012,2026-07-01,220,132,0.6,772.2,1699
S012-202608,S012,C012,2026-08-01,220,125,0.57,731.2,1682
