subscription_id,customer_id,product_id,arr,start_date,renewal_date,licensed_users,contract_tier,status
S001,C001,P002,480000.0,2025-10-01,2026-09-30,650,Enterprise,Active
S002,C002,P001,360000.0,2025-11-15,2026-11-14,500,Enterprise,Active
S003,C003,P003,300000.0,2026-01-01,2026-12-31,450,Enterprise,Active
S004,C004,P004,420000.0,2025-09-15,2026-09-14,550,Enterprise,Active
S005,C005,P001,720000.0,2025-12-01,2026-11-30,1100,Strategic,Active
S006,C006,P001,216000.0,2026-02-01,2027-01-31,300,Commercial,Active
S007,C007,P002,600000.0,2025-10-15,2026-10-14,800,Strategic,Active
S008,C008,P003,180000.0,2026-03-01,2027-02-28,250,Commercial,Active
S009,C009,P004,450000.0,2025-11-01,2026-10-31,700,Enterprise,Active
S010,C010,P001,390000.0,2026-01-15,2027-01-14,600,Enterprise,Active
S011,C011,P003,144000.0,2026-04-01,2027-03-31,180,Commercial,Active
S012,C012,P001,168000.0,2026-02-15,2027-02-14,220,Commercial,Active
