payment_id,invoice_id,customer_id,payment_date,amount,payment_method
PAY0001,INV0001,C001,2026-03-22,40000.0,ACH
PAY0002,INV0002,C001,2026-04-23,40000.0,ACH
PAY0003,INV0003,C001,2026-05-24,40000.0,ACH
PAY0004,INV0004,C001,2026-06-25,40000.0,ACH
PAY0005,INV0005,C001,2026-07-26,40000.0,ACH
PAY0006,INV0006,C001,2026-08-27,40000.0,ACH
PAY0007,INV0007,C002,2026-03-23,30000.0,Wire
PAY0008,INV0008,C002,2026-04-24,30000.0,Wire
PAY0009,INV0009,C002,2026-05-25,30000.0,Wire
PAY0010,INV0010,C002,2026-06-26,30000.0,Wire
PAY0011,INV0012,C002,2026-08-22,30000.0,Wire
PAY0012,INV0013,C003,2026-03-24,25000.0,Card
PAY0013,INV0014,C003,2026-04-25,25000.0,Card
PAY0014,INV0015,C003,2026-05-26,25000.0,Card
PAY0015,INV0016,C003,2026-06-27,25000.0,Card
PAY0016,INV0017,C003,2026-07-22,25000.0,Card
PAY0017,INV0018,C003,2026-08-23,25000.0,Card
PAY0018,INV0019,C004,2026-03-25,35000.0,ACH
PAY0019,INV0020,C004,2026-04-26,35000.0,ACH
PAY0020,INV0021,C004,2026-05-27,35000.0,ACH
PAY0021,INV0022,C004,2026-06-22,35000.0,ACH
PAY0022,INV0024,C004,2026-08-24,35000.0,ACH
PAY0023,INV0025,C005,2026-03-26,60000.0,Wire
PAY0024,INV0026,C005,2026-04-27,60000.0,Wire
PAY0025,INV0027,C005,2026-05-22,60000.0,Wire
PAY0026,INV0028,C005,2026-06-23,60000.0,Wire
PAY0027,INV0029,C005,2026-07-24,60000.0,Wire
PAY0028,INV0030,C005,2026-08-25,60000.0,Wire
PAY0029,INV0031,C006,2026-03-27,18000.0,Card
PAY0030,INV0032,C006,2026-04-22,18000.0,Card
PAY0031,INV0033,C006,2026-05-23,18000.0,Card
PAY0032,INV0034,C006,2026-06-24,18000.0,Card
PAY0033,INV0035,C006,2026-07-25,18000.0,Card
PAY0034,INV0036,C006,2026-08-26,18000.0,Card
PAY0035,INV0037,C007,2026-03-22,50000.0,ACH
PAY0036,INV0038,C007,2026-04-23,50000.0,ACH
PAY0037,INV0039,C007,2026-05-24,50000.0,ACH
PAY0038,INV0040,C007,2026-06-25,50000.0,ACH
PAY0039,INV0041,C007,2026-07-26,50000.0,ACH
PAY0040,INV0043,C008,2026-03-23,15000.0,Wire
PAY0041,INV0044,C008,2026-04-24,15000.0,Wire
PAY0042,INV0045,C008,2026-05-25,15000.0,Wire
PAY0043,INV0046,C008,2026-06-26,15000.0,Wire
PAY0044,INV0047,C008,2026-07-27,15000.0,Wire
PAY0045,INV0048,C008,2026-08-22,15000.0,Wire
PAY0046,INV0049,C009,2026-03-24,37500.0,Card
PAY0047,INV0050,C009,2026-04-25,37500.0,Card
PAY0048,INV0051,C009,2026-05-26,37500.0,Card
PAY0049,INV0052,C009,2026-06-27,37500.0,Card
PAY0050,INV0053,C009,2026-07-22,37500.0,Card
PAY0051,INV0055,C010,2026-03-25,32500.0,ACH
PAY0052,INV0056,C010,2026-04-26,32500.0,ACH
PAY0053,INV0057,C010,2026-05-27,32500.0,ACH
PAY0054,INV0058,C010,2026-06-22,32500.0,ACH
PAY0055,INV0059,C010,2026-07-23,32500.0,ACH
PAY0056,INV0060,C010,2026-08-24,32500.0,ACH
PAY0057,INV0061,C011,2026-03-26,12000.0,Wire
PAY0058,INV0062,C011,2026-04-27,12000.0,Wire
PAY0059,INV0063,C011,2026-05-22,12000.0,Wire
PAY0060,INV0064,C011,2026-06-23,12000.0,Wire
PAY0061,INV0065,C011,2026-07-24,12000.0,Wire
PAY0062,INV0066,C011,2026-08-25,12000.0,Wire
PAY0063,INV0067,C012,2026-03-27,14000.0,Card
PAY0064,INV0068,C012,2026-04-22,14000.0,Card
PAY0065,INV0069,C012,2026-05-23,14000.0,Card
PAY0066,INV0070,C012,2026-06-24,14000.0,Card
PAY0067,INV0071,C012,2026-07-25,14000.0,Card
